Station Type;Name;Latitude;Longitude
Waypoint;Waypoint; 28.49610;-16.11910
Waypoint;Waypoint; 28.57000;-16.01000
Sampling Station;24-Pies433; 29.16670;-18.48630
Sampling Station;24-Zoo; 29.16670;-18.49630
Sampling Station;24; 29.16670;-18.49630
Sampling Station;24-Zoo; 29.16670;-18.49630
Sampling Station;24-Bongo; 29.16670;-18.49630
Sampling Station;24-Avani; 29.16670;-18.49630
Sampling Station;23; 29.16670;-18.24250
Sampling Station;22; 29.16670;-18.00250
Sampling Station;22-Zoo; 29.16670;-18.00250
Sampling Station;22-Bongo; 29.16670;-18.00250
Sampling Station;21; 29.16670;-17.65430
Sampling Station;21-Avani; 29.16670;-17.65430
Sampling Station;20; 29.16670;-17.28620
Sampling Station;20-Zoo; 29.16670;-17.28620
Sampling Station;20-Bongo; 29.16670;-17.28620
Sampling Station;19; 29.16670;-16.91360
Sampling Station;18; 29.16670;-16.56830
Sampling Station;18-Zoo; 29.16670;-16.56830
Sampling Station;18-Bongo; 29.16670;-16.56830
Sampling Station;18-Avani; 29.16670;-16.56830
Sampling Station;17; 29.16670;-16.19790
Sampling Station;16; 29.16670;-15.83470
Sampling Station;16-Zoo; 29.16670;-15.83470
Sampling Station;16-Bongo; 29.16670;-15.83470
Sampling Station;15-Pies432; 29.16500;-15.50180
Sampling Station;15-WP2; 29.16670;-15.50070
Sampling Station;15; 29.16670;-15.50070
Sampling Station;15-WP2; 29.16670;-15.50070
Sampling Station;15B; 29.16670;-15.50070
Sampling Station;15-Avani; 29.16670;-15.50070
Sampling Station;14; 29.09550;-15.11000
Sampling Station;14-Zoo; 29.09550;-15.11000
Sampling Station;14-Bongo; 29.09550;-15.11000
Sampling Station;13; 29.01660;-14.72970
Sampling Station;12; 28.93930;-14.37570
Sampling Station;12-Zoo; 28.93930;-14.37570
Sampling Station;12-Bongo; 28.93930;-14.37570
Sampling Station;12-Avani; 28.93930;-14.37570
Sampling Station;11; 28.87550;-14.10200
Sampling Station;11-Pies431; 28.87560;-14.10200
Sampling Station;10; 28.80240;-13.70510
Sampling Station;10-Zoo; 28.80240;-13.70510
Sampling Station;10-Pies424; 28.80240;-13.70510
Sampling Station;10-Zoo; 28.80240;-13.70510
Sampling Station;10-Bongo; 28.80240;-13.70510
Sampling Station;09; 28.76670;-13.46670
Sampling Station;09-Avani; 28.76670;-13.46670
Sampling Station;08; 28.73800;-13.36220
Sampling Station;08-Zoo; 28.73800;-13.36220
Sampling Station;08-Bongo; 28.73800;-13.36220
Sampling Station;07; 28.70880;-13.20620
Sampling Station;07-Pies422; 28.67890;-13.08620
Sampling Station;07P; 28.69550;-13.16140
Mooring;EBC7; 28.67890;-13.08620
Sampling Station;06; 28.65880;-13.00780
Sampling Station;06-WP2; 28.65880;-13.00780
Sampling Station;06-Bongo; 28.65880;-13.00780
Sampling Station;06-Avani; 28.65880;-13.00780
Sampling Station;05; 28.62600;-12.87780
Sampling Station;51; 28.49300;-13.15920
Sampling Station;51-Avani; 28.49300;-13.15920
Sampling Station;50; 28.32730;-13.29980
Sampling Station;49; 28.15470;-13.44270
Sampling Station;49-WP2; 28.15470;-13.44270
Sampling Station;49-Bongo; 28.15470;-13.44270
Sampling Station;48; 27.99610;-13.58330
Sampling Station;48-Avani; 27.99610;-13.58330
Sampling Station;47; 27.85550;-13.70320
Sampling Station;47-WP2; 27.85550;-13.70320
Sampling Station;47-Bongo; 27.85550;-13.70320
Sampling Station;46; 27.73080;-13.80000
Sampling Station;45; 27.62650;-14.00000
Sampling Station;45-WP2; 27.62650;-14.00000
Sampling Station;45-Bongo; 27.62650;-14.00000
Sampling Station;45-Avani; 27.62650;-14.00000
Sampling Station;44; 27.52210;-14.25000
Sampling Station;43; 27.41770;-14.50000
Sampling Station;43-WP2; 27.41770;-14.50000
Sampling Station;43-Bongo; 27.41770;-14.50000
Sampling Station;42; 27.31340;-14.75000
Sampling Station;42-Avani; 27.31340;-14.75000
Sampling Station;41; 27.20900;-15.00000
Sampling Station;41-WP2; 27.20900;-15.00000
Sampling Station;41-Bongo; 27.20900;-15.00000
Sampling Station;40; 27.10470;-15.25000
Sampling Station;39; 27.00000;-15.50070
Sampling Station;39-WP2; 27.00000;-15.50070
Sampling Station;39-Bongo; 27.00000;-15.50070
Sampling Station;38; 27.00000;-15.83470
Sampling Station;37; 27.00000;-16.19790
Sampling Station;37-WP2; 27.00000;-16.19790
Sampling Station;37-Bongo; 27.00000;-16.19790
Sampling Station;36; 27.00000;-16.56830
Sampling Station;36B; 27.00000;-16.56830
Sampling Station;36-Avani; 27.00000;-16.56830
Sampling Station;35; 27.00000;-16.91360
Sampling Station;35-WP2; 27.00000;-16.91360
Sampling Station;35-Bongo; 27.00000;-16.91360
Sampling Station;34; 27.00000;-17.28620
Sampling Station;33; 27.00000;-17.65430
Sampling Station;33-WP2; 27.00000;-17.65430
Sampling Station;33-Bongo; 27.00000;-17.65430
Sampling Station;33-Avani; 27.00000;-17.65430
Sampling Station;32; 27.00000;-18.00250
Sampling Station;31; 27.00000;-18.24250
Sampling Station;31-WP2; 27.00000;-18.24250
Sampling Station;31-Bongo; 27.00000;-18.24250
Sampling Station;30; 27.00000;-18.49630
Sampling Station;30-Avani; 27.00000;-18.49630
Sampling Station;29; 27.35900;-18.49630
Sampling Station;29-WP2; 27.35900;-18.49630
Sampling Station;29-Bongo; 27.35900;-18.49630
Sampling Station;28; 27.71900;-18.49630
Sampling Station;28-WP2; 27.71900;-18.49630
Sampling Station;28-Bongo; 27.71900;-18.49630
Sampling Station;27; 28.07800;-18.49630
Sampling Station;27-WP2; 28.07800;-18.49630
Sampling Station;27-Bongo; 28.07800;-18.49630
Sampling Station;26; 28.43800;-18.49630
Sampling Station;26-Avani; 28.43800;-18.49630
Sampling Station;25; 28.79700;-18.49630
Waypoint;Waypoint; 28.88920;-17.90660
Waypoint;Waypoint; 28.88920;-17.76080
Waypoint;Waypoint; 28.57260;-16.07950
Waypoint;Waypoint; 28.49610;-16.11910
